State District,Crop,Area_Total,Producao_Total,Rendimento_Medio_Local
UTTAR PRADESH - MIRZAPUR,WHEAT,2202823.0,4719136.0,2.143181818181818
UTTAR PRADESH - BAGHPAT,WHEAT,1221384.0,4709461.0,3.8590909090909093
GUJARAT - AHMADABAD,RICE,2217911.0,4690248.0,2.43972972972973
UTTAR PRADESH - PRATAPGARH,RICE,2277429.0,4662086.0,2.0545454545454547
MAHARASHTRA - SINDHUDURG,RICE,1662416.0,4611975.0,2.4863636363636363
HARYANA - REWARI,WHEAT,1059608.0,4587800.0,4.343636363636364
MAHARASHTRA - JALGAON,MAIZE,1623216.0,4564929.0,22.931562500000002
BIHAR - MUZAFFARPUR,WHEAT,2019547.0,4559421.0,2.2427272727272727
HARYANA - PALWAL,WHEAT,1023693.0,4547800.0,4.450909090909091
MAHARASHTRA - RATNAGIRI,RICE,1691588.0,4530868.0,2.7921951219512198
UTTAR PRADESH - BALRAMPUR,RICE,2293496.0,4511391.0,1.9647826086956521
ANDHRA PRADESH - MEDAK,RICE,1645603.0,4460666.0,2.6540624999999998
ASSAM - GOLAGHAT,RICE,2166969.0,4455655.0,1.8716666666666666
ASSAM - CACHAR,RICE,2317599.0,4451126.0,1.7758461538461536
PUNJAB - HOSHIARPUR,MAIZE,1383900.0,4449400.0,3.2368181818181823
PUNJAB - SHAHID BHAGAT SINGH NAGAR,RICE,1151000.0,4448000.0,3.8286363636363636
MADHYA PRADESH - BETUL,WHEAT,2353748.0,4447883.0,1.7854545454545454
