State District,Crop,Rendimento_Medio,Precipitacao_Anual_Media,Precipitacao_Jun_Sep_Media,Temp_Media_JanFeb,Temp_Media_MarMay,Temp_Media_JunSep,Temp_Media_OctDec
GUJARAT - SURAT,WHEAT,2.3631818181818183,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
GUJARAT - SURENDRANAGAR,MAIZE,1.54,1094.8799999999999,834.64,20.182,26.96,27.810000000000002,22.778
GUJARAT - SURENDRANAGAR,RICE,1.7926315789473686,1134.6473684210525,862.278947368421,20.121052631578948,26.849999999999998,27.687368421052636,22.709473684210526
GUJARAT - SURENDRANAGAR,WHEAT,2.502272727272727,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
GUJARAT - TAPI,MAIZE,1.945,1148.8227272727272,874.6681818181819,20.637727272727272,27.424545454545456,27.94272727272727,23.19181818181818
GUJARAT - TAPI,RICE,2.6713636363636364,1126.8363636363638,862.2090909090908,20.36,27.171818181818182,27.835454545454546,23.002727272727274
GUJARAT - TAPI,WHEAT,2.673636363636364,1126.8363636363638,862.2090909090908,20.36,27.171818181818182,27.835454545454546,23.002727272727274
GUJARAT - VADODARA,MAIZE,1.8178947368421052,1139.542105263158,867.4894736842105,20.281578947368423,27.094210526315788,27.773947368421055,22.85815789473684
GUJARAT - VADODARA,RICE,1.4712,1140.384,860.988,20.2932,27.0684,27.7596,22.83
GUJARAT - VADODARA,WHEAT,2.4477272727272728,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
GUJARAT - VALSAD,MAIZE,1.5372727272727273,1143.0545454545454,869.1,20.07090909090909,26.735454545454544,27.780909090909095,22.752727272727274
GUJARAT - VALSAD,RICE,2.5121951219512195,1129.0365853658536,856.6878048780487,20.138048780487804,26.921951219512195,27.679756097560972,22.706829268292683
GUJARAT - VALSAD,WHEAT,2.7266666666666666,1126.8866666666665,849.4266666666666,19.953333333333333,26.7,27.584666666666667,22.541999999999998
HARYANA - AMBALA,MAIZE,2.638,1132.165,858.54,20.029,26.8315,27.6195,22.6055
HARYANA - AMBALA,RICE,3.4063636363636363,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - AMBALA,WHEAT,3.958636363636364,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - BHIWANI,BARLEY,3.016818181818182,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - BHIWANI,MAIZE,2.0,1211.0,897.7,21.84,28.41,28.5,24.21
HARYANA - BHIWANI,RICE,2.273636363636364,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - BHIWANI,WHEAT,3.6459090909090914,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - CHARKI DADRI,BARLEY,3.92,1205.65,893.75,21.54,28.285,28.39,23.880000000000003
HARYANA - CHARKI DADRI,RICE,2.12,1205.65,893.75,21.54,28.285,28.39,23.880000000000003
HARYANA - CHARKI DADRI,WHEAT,4.5600000000000005,1205.65,893.75,21.54,28.285,28.39,23.880000000000003
HARYANA - FARIDABAD,BARLEY,3.4386666666666668,1148.8266666666668,861.2133333333334,20.168666666666663,26.951999999999998,27.670666666666666,22.706
HARYANA - FARIDABAD,MAIZE,2.5759999999999996,1084.44,811.0,19.47,26.572000000000003,27.477999999999998,22.392
HARYANA - FARIDABAD,RICE,2.6154545454545453,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - FARIDABAD,WHEAT,4.202727272727273,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - FATEHABAD,BARLEY,3.4736363636363636,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - FATEHABAD,RICE,3.7381818181818187,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - FATEHABAD,WHEAT,4.664545454545455,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - GURGAON,BARLEY,3.4259090909090912,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - GURGAON,RICE,2.8077272727272726,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - GURGAON,WHEAT,4.046818181818182,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - HISAR,BARLEY,3.2213636363636367,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - HISAR,MAIZE,2.5,1204.9,892.1500000000001,22.045,28.634999999999998,28.47,24.205
HARYANA - HISAR,RICE,2.4436363636363634,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - HISAR,WHEAT,4.375454545454546,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - JHAJJAR,BARLEY,3.22,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - JHAJJAR,MAIZE,2.5,1199.825,888.15,21.3625,27.93,28.2375,23.7375
HARYANA - JHAJJAR,RICE,1.9390909090909092,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
HARYANA - JHAJJAR,WHEAT,4.093636363636364,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
